date_hour,consumption_hour
2019-03-08 03:00:00,213
2019-03-08 04:00:00,65
2019-03-08 05:00:00,239
2019-03-08 06:00:00,34
2019-03-08 07:00:00,240
2019-03-08 08:00:00,380
2019-03-08 09:00:00,1391
2019-03-08 10:00:00,1940
2019-03-08 11:00:00,1132
2019-03-08 12:00:00,111
2019-03-08 13:00:00,40
2019-03-08 14:00:00,127
2019-03-08 15:00:00,45
2019-03-08 16:00:00,107
2019-03-08 17:00:00,873
2019-03-08 18:00:00,1106
2019-03-08 19:00:00,1545
2019-03-08 20:00:00,1691
2019-03-08 21:00:00,1138
2019-03-08 22:00:00,1326
2019-03-08 23:00:00,662
2019-03-09 00:00:00,518
2019-03-09 01:00:00,660
2019-03-09 02:00:00,474
2019-03-09 03:00:00,535
2019-03-09 04:00:00,544
2019-03-09 05:00:00,423
2019-03-09 06:00:00,634
2019-03-09 07:00:00,529
2019-03-09 08:00:00,455
2019-03-09 09:00:00,476
2019-03-09 10:00:00,1507
2019-03-09 11:00:00,1937
2019-03-09 12:00:00,1759
2019-03-09 13:00:00,1394
2019-03-09 14:00:00,1293
2019-03-09 15:00:00,1046
2019-03-09 16:00:00,130
2019-03-09 17:00:00,131
2019-03-09 18:00:00,353
2019-03-09 19:00:00,124
2019-03-09 20:00:00,1851
2019-03-09 21:00:00,1458
2019-03-09 22:00:00,939
2019-03-09 23:00:00,586
2019-03-10 00:00:00,1321
2019-03-10 01:00:00,846
2019-03-10 02:00:00,404
2019-03-10 03:00:00,237
2019-03-10 04:00:00,192
2019-03-10 05:00:00,97
2019-03-10 06:00:00,203
2019-03-10 07:00:00,84
2019-03-10 08:00:00,223
2019-03-10 09:00:00,62
2019-03-10 10:00:00,1341
2019-03-10 11:00:00,1742
2019-03-10 12:00:00,1240
2019-03-10 13:00:00,44
2019-03-10 14:00:00,127
2019-03-10 15:00:00,42
2019-03-10 16:00:00,128
2019-03-10 17:00:00,41
2019-03-10 18:00:00,128
2019-03-10 19:00:00,850
2019-03-10 20:00:00,2125
2019-03-10 21:00:00,1831
2019-03-10 22:00:00,850
2019-03-10 23:00:00,606
2019-03-11 01:00:00,337
2019-03-11 03:00:00,125
2019-03-11 05:00:00,128
2019-03-11 07:00:00,122
2019-03-11 09:00:00,627
2019-03-11 11:00:00,1439
2019-03-11 13:00:00,127
2019-03-11 15:00:00,76
2019-03-11 17:00:00,34
2019-03-11 19:00:00,1104
2019-03-11 21:00:00,2240
2019-03-11 23:00:00,1303
2019-03-12 00:00:00,813
2019-03-12 02:00:00,196
2019-03-12 04:00:00,158
2019-03-12 06:00:00,179
2019-03-12 08:00:00,422
2019-03-12 10:00:00,1765
2019-03-12 12:00:00,126
2019-03-12 14:00:00,128
2019-03-12 16:00:00,82
2019-03-12 18:00:00,34
2019-03-12 20:00:00,2872
2019-03-12 22:00:00,1880
2019-03-13 00:00:00,2020
2019-03-13 01:00:00,1748
2019-03-13 02:00:00,176
2019-03-13 03:00:00,186
2019-03-13 04:00:00,594
2019-03-13 05:00:00,412
2019-03-13 06:00:00,450
2019-03-13 07:00:00,408
2019-03-13 08:00:00,730
2019-03-13 09:00:00,1328
2019-03-13 10:00:00,3684
2019-03-13 11:00:00,2242
2019-03-13 12:00:00,100
2019-03-13 13:00:00,576
2019-03-13 14:00:00,1320
2019-03-13 15:00:00,740
2019-03-13 16:00:00,548
2019-03-13 17:00:00,34
2019-03-13 18:00:00,102
2019-03-13 19:00:00,124
2019-03-13 20:00:00,38
2019-03-13 21:00:00,124
